,Confirmed_scaled
0,-0.13567609346344875
1,-0.21776771274845705
2,-0.15736106698008892
3,-0.22816028208278896
4,-0.2280478027267919
5,-0.23030785304263957
6,0.2073937897244776
7,-0.1327280880167354
8,-0.19050324001456795
9,-0.176757216392138
10,-0.15089219611077034
11,-0.2295335765455436
12,-0.1272558365575302
13,0.3612263117437891
14,-0.23024507386719936
15,-0.05461771477422729
16,-0.056770517332031256
17,-0.23040725340375323
18,-0.22590284756591797
19,-0.23027384765594278
20,-0.04433762479589244
21,-0.2030721540974939
22,-0.22859973631087044
23,6.158229213903274
24,-0.23016398409892241
25,-0.20275041082336281
26,-0.22765543288029058
27,-0.22961728211279722
28,-0.2295440397414503
29,-0.224443231736933
30,-0.229941641185905
31,-0.18577649126371526
32,0.07409790547104574
33,-0.21850275226090288
34,-0.22812104509813882
35,0.6795638156072483
36,-0.0035259291618007496
37,0.44199172094762296
38,-0.22960681891689053
39,-0.22216225502927195
40,-0.20739868560491523
41,-0.18909594016511652
42,-0.18958247877477816
43,-0.21776509694948037
44,-0.2239096087456912
45,-0.2277600648393576
46,-0.18994607483253606
47,-0.19453680203660162
48,-0.21729948473163213
49,-0.2304857273730535
50,-0.06271361260703807
51,-0.018231951008670606
52,0.011381509206273122
53,-0.191204274140317
54,-0.22249969309726308
55,-0.22983962502581465
56,-0.22521227663607563
57,-0.22447462132465312
58,-0.19248078404093466
59,-0.2304621851822634
60,-0.21118113092518806
61,0.3458637243537737
62,-0.21172783291131325
63,-0.22968006128823742
64,-0.2275586483181536
65,0.31123054590258964
66,-0.14257918696289548
67,-0.21947582948022618
68,-0.2304961905689602
69,-0.23047264837817014
70,-0.11201357592044187
71,-0.21207834997418776
72,-0.22542154055420965
73,-0.22951526595270688
74,-0.21133284726583523
75,-0.23050142216691355
76,-0.12657834462257125
77,-0.2188977379063809
78,-0.22568312045187722
79,3.641040627050455
80,0.031839673002852474
81,0.5374814625911634
82,0.06396691603438139
83,-0.16280454465055072
84,-0.06316091423204959
85,0.41370185501487705
86,-0.22830153522752944
87,-0.14907160002300415
88,-0.22745663215806322
89,-0.009110659977003015
90,-0.18351382514889092
91,-0.21114189394053792
92,-0.062130289435239426
93,-0.14343716902724507
94,-0.23048049577510016
95,-0.22734415280206619
96,-0.22037828012717922
97,-0.2292118332714125
98,-0.22748017434885331
99,-0.22313794804757192
100,-0.23030785304263957
101,-0.22525151362072576
102,-0.21399834642306761
103,-0.20518571967064772
104,-0.2209485243040945
105,-0.2072417376663147
106,-0.22172018500221377
107,-0.22395930892624805
108,-0.2286991366719841
109,-0.21429393170743194
110,-0.22963297690665727
111,0.8039869097317968
112,-0.16996660224868834
113,-0.2302293790733393
114,-0.22977684585037442
115,-0.22296530531511133
116,-0.17589661852881178
117,-0.22608333769530858
118,-0.22571189424062066
119,-0.18148134934401403
120,-0.09081514101346333
121,-0.22646001274794986
122,-0.2215370790738465
123,-0.22757172731303696
124,-0.12281420989513515
125,-0.20381765680584643
126,-0.20664533549963268
127,-0.028964574209970322
128,0.486952073758722
129,-0.06981289102973547
130,-0.23037063221807977
131,-0.21863615800871333
132,0.7888885180384255
133,-0.01593266370817281
134,-0.11700190456896212
135,-0.09896073902683095
136,0.0561509086920749
137,-0.11046240712727327
138,1.9057378965167417
139,-0.22561772547746034
140,-0.23048834317203018
141,-0.23047003257919343
142,-0.23039679020784654
143,-0.22870436826993745
144,-0.22827014563980932
145,0.4729444702386245
146,-0.20499215054637374
147,-0.16738480865870958
148,-0.23023461067129264
149,-0.22586884217922118
150,-0.09755082337840283
151,-0.22482775418650433
152,-0.22507363929031182
153,-0.22217271822517864
154,0.9531920833613692
155,-0.19338061888891103
156,-0.22450339511339656
157,0.4820657612702921
158,-0.22319549562505878
159,-0.20064992424509234
160,-0.22665358187222384
161,-0.0228514520014796
162,-0.14034791043579126
163,-0.22876976324435436
164,-0.22932431262740957
165,-0.21160750615838617
166,-0.2292013700755058
167,-0.22190852252853444
168,-0.23047003257919343
169,-0.22824660344901923
170,-0.23014567350608567
171,-0.22672682424357077
172,0.3633032561312695
173,10.991922290118369
174,-0.22758219050894365
175,-0.055023163615612
176,-0.07573767571190555
177,0.5586746659001885
178,-0.22738862138466967
179,-0.17505433125832226
180,-0.18871141771554523
181,-0.2294054023956865
182,-0.20275041082336281
183,-0.2305066537648669
184,-0.22610949568507532
185,-0.21862569481280664
186,-0.223459691321703
